itemnumber,itemtext
1,Ik had drukke gedachten
2,Ik had snel wisselende gedachten
3,Ik vond het moeilijk om mijn gedachten vast te houden
4,Ik dacht aan anderen
5,Ik verplaatste mij in anderen
6,Ik dacht aan mensen die ik mag
7,Ik dacht aan mijn gevoelens
8,Ik dacht aan mijn gedrag
9,Ik dacht aan mezelf
10,Ik dacht aan dingen die ik moet doen
11,I dacht aan het oplossen van problemen
12,Ik dacht aan de toekomst
13,Ik voelde me moe
14,Ik voelde me slaperig
15,Ik had moeite met wakker blijven
16,Ik voelde me comfortabel
17,Ik voelde me ontspannen
18,Ik voelde me gelukkig
19,Ik was mij bewust van mijn lichaam
20,Ik lette op mijn ademhaling
21,Ik lette op mijn hartslag
22,Ik voelde me ziek
23,Ik dacht aan mijn gezondheid
24,Ik voelde pijn
25,Ik stelde me gebeurtenissen voor
26,Ik dacht in beelden
27,Ik stelde me een bepaalde omgeving voor
28,Ik voerde innerlijke gesprekken
29,Ik dacht in woorden
30,Ik praatte tegen mezelf in mijn gedachten
31,Ik had moete met het herinneren van mijn gedachten
32,Ik had moeite met het herinneren van mijn gevoelens
33,Ik voelde me gemotiveerd om deel te nemen
34,Ik had mijn ogen dicht
35,Ik heb de stellingen goed kunnen beantwoorden
